//TODO: switch day and month right now its month/day/year
12/06/2023, 13:45:58, 10.212.134.3, bug/match-bugs-amalgamation, Fail, Command failed: cd platform && git fetch && git checkout bug/match-bugs-amalgamation && git pull origin bug/match-bugs-amalgamation Switched to branch 'bug/match-bugs-amalgamation' From github.com:Can, 4m2.554s
12/06/2023, 15:23:58, 10.212.134.1, story/merge-main-into-feature-match-v2-06-12-23, Success, , 3m56.580s
12/06/2023, 15:30:19, 10.212.134.2, bug/fixing-localization-in-recruitment-partner-modules-ah, Success, , 4m4.755s
12/06/2023, 15:33:30, 10.212.134.2, bug/match-bugs-amalgamation, Fail, Command failed: cd platform && git fetch && git checkout bug/match-bugs-amalgamation && git pull origin bug/match-bugs-amalgamation From github.com:Candeno/platform    e67605394..673956e7e  bug/match-, 4m4.755s12/08/2023, 11:34:34, 10.212.134.1, story/activity-log-final-kk, Success, , 4m32.755s
12/08/2023, 12:06:10, 10.212.134.2, story/mergin-main-into-feature-match-v2-08-12-23, Success, , 4m11.994s
12/08/2023, 12:50:04, 10.212.134.2, story/updating-match-job-post-employment-form-ah_866b27h1v, Success, , 4m23.678s
12/08/2023, 13:00:00, 10.212.134.2, story/updating-match-job-post-employment-form-ah_866b27h1v, Success, , 4m16.292s
12/08/2023, 14:21:09, 10.212.134.1, story/fixing-opened-status-RP, Success, , 4m32.909s
12/11/2023, 11:32:02, 10.212.134.2, release/more-rp-fixes-bundle, Success, , 4m31.970s
12/11/2023, 11:42:22, 10.212.134.2, bug/more-ui-fixes-ai, Success, , 4m4.597s
12/11/2023, 14:58:02, 10.212.134.3, feature/match-v2, Success, No Changes, 4m5.573s
12/11/2023, 16:05:29, 10.212.134.3, story/fixing-opened-status-RP, Fail, Command failed: cd platform && git fetch && git checkout story/fixing-opened-status-RP && git pull origin story/fixing-opened-status-RP From github.com:Candeno/platform    4a07816ae..4e83c5ce7  featur, 4m5.573s
12/11/2023, 16:21:50, 10.212.134.4, bug/fixing-the-archive-candidate-logic-ah, Success, , 4m43.660s
12/12/2023, 10:34:24, 10.212.134.2, bug/fixed-hard-coded-text-ai, Success, , 4m19.182s
12/12/2023, 15:33:15, 10.212.134.2, bug/slate-menubar-zIndex-ai, Fail, Command failed: cd platform && git fetch && git checkout bug/slate-menubar-zIndex-ai && git pull origin bug/slate-menubar-zIndex-ai From github.com:Candeno/platform    c55f8e30b..ad390a29d  feature/jo, 4m19.182s
12/12/2023, 16:04:54, 10.212.134.2, bug/slate-menubar-zIndex-ai, Success, , 4m46.391s
12/13/2023, 11:24:35, 10.212.134.2, bug/missed-lang-key-in-job-post-creation-ah, Success, , 4m12.953s
12/14/2023, 10:05:09, 10.212.134.3, bug/fixing-aka-issues-13-12-23-ah, Fail, Command failed: cd platform && git fetch && git checkout bug/fixing-aka-issues-13-12-23-ah && git pull origin bug/fixing-aka-issues-13-12-23-ah git@github.com: Permission denied (publickey). fatal: C, 
12/14/2023, 10:14:21, 10.212.134.3, bug/fixing-aka-issues-13-12-23-ah, Success, , 4m16.316s
12/15/2023, 11:47:32, 10.212.134.5, bug/fixed-thunk-error-in-recruitment-ah, Success, , 4m30.001s
12/19/2023, 12:26:50, 10.212.134.1, story/reordering-migrations, Success, , 4m1.330s
12/19/2023, 12:36:22, 10.212.134.1, feature/match-v2, Success, , 4m11.299s
12/19/2023, 16:49:39, 10.212.134.3, feature/match-v2, Success, , 4m50.852s
12/20/2023, 12:27:20, 10.212.134.6, feature/match-v2, Success, , 4m17.182s
